Q2,Xs,XsErr
-0.277777777778,0.0,0.0
0.003125,0.0,0.0
0.009375,0.0,0.0
0.01875,2.35097333301e-38,1.73775351813e-38
0.03125,1.09108854176e-38,7.02105383463e-39
0.04375,7.84394915032e-39,5.61300095552e-39
0.075,1.41732617822e-38,4.14138857334e-39
0.125,1.28484704982e-38,2.05723383727e-39
0.175,1.15653616539e-38,1.3009301966e-39
0.25,1.05182731191e-38,8.3776400624e-40
0.3499,7.44145587612e-39,7.04544177685e-40
0.4995,4.01653816638e-39,4.50077700486e-40
0.6993,2.44275258127e-39,3.75848617245e-40
0.8991,1.70944632508e-39,3.12151313976e-40
1.099,1.25689292948e-39,2.52842724938e-40
1.582,5.68981870367e-40,1.18444342601e-40
2.815,1.59323236454e-40,5.49923671314e-41
4.768,5.16774664777e-41,4.8767846133e-41
7.596,0.0,0.0
10.2777777778,0.0,0.0
